food,,,,,,calories,protein,fat,carbs,vata,pitta,kapha,madhra,amla,lavana,katu,titka,kashaya,usna,sitta,madhura,amla.1,katu.1,guru,laghu,snigdha,ruksha,time,vscore,pscore,kscore,label,Diabetes,hypertension
 broccoli with garlic& black olive,,,,,,170.5,4,3.8,30,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,-1,-1,-1,kapha,1,1
 daikon radish,,,,,,170.5,4,3.8,30,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,2,2,1,0,kapha,1,1
 kohorabi,,,,,,170.5,4,3.8,30,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,2,2,1,0,kapha,1,1
 leeks,,,,,,153.9,4.3,1.1,29.6,1,1,-1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,-1,-1,-1,kapha,1,1
 mustard greens,,,,,,282.7,6.8,24.75,29.3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-2,-2,2,pitta,1,1
 radishes,,,,,,611.2,2.2,9.2,28.6,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,5,0,-3,kapha,1,1
 cooked tomatoes,,,,,,330.2,5.2,22.5,28.6,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,-1,-1,3,pitta,1,1
 wheat grass,,,,,,330.2,5.2,22.5,28.6,1,1,-1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-2,-4,4,pitta,1,1
 turnips,,,,,,182,8.6,8.8,28.5,-1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,4,-4,0,pitta,1,1
 buckwheat,,,,,,127.3,2.7,0.3,28.4,0,-1,-1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,2,-4,-2,3,vata,1,1
oats idli,,,,,,127.4,2.7,0.3,28.4,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,-1,-1,-1,kapha,1,1
oats upma,,,,,,324.1,5.2,22.7,28.2,1,1,-1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,-1,-1,3,pitta,1,1
aloo paratha,,,,,,218,2.6,1.5,27.8,-1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,3,-1,0,pitta,1,1
dosa,,,,,,114.4,2.7,0.4,27.7,1,-1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,3,2,-3,kapha,1,1
appam,,,,,,228,9,8.7,27.3,-1,1,-1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,2,0,-2,3,pitta,1,1
